stock_code,stock_name,stock_name_en,market,dart_corp_code,aliases
000010,신한은행,,,00149293,
000020,동화약품,,,00119195,
000030,우리은행,,,00254045,
000040,KR모터스,,,00112378,
000050,경방,,,00101628,
000060,메리츠화재해상보험,,,00117744,
000070,삼양홀딩스,,,00126937,
000080,하이트진로,,,00150244,
000100,유한양행,,,00145109,
000110,한국스탠다드차타드은행,,,00148504,
000120,CJ대한통운,,,00113410,
000140,하이트진로홀딩스,,,00148993,
000150,두산,,,00117212,
000180,성창기업지주,,,00133335,
0001A0,덕양에너젠,,,01516933,
000210,DL,,,00109693,
000220,유유제약,,,00144818,
000230,일동홀딩스,,,00146083,
000240,한국앤컴퍼니,,,00160047,
000250,삼천당제약,,,00128546,
000270,기아,,,00106641,
000300,DH오토넥스,,,00126089,
000320,노루홀딩스,,,00113508,
000360,삼환기업,,,00129411,
000370,한화손해보험,,,00135917,
000380,대아건설,,,00110963,
000390,SP삼화,,,00129387,
000400,롯데손해보험,,,00113562,
000420,로케트전기,,,00120377,
000430,대원강업,,,00111847,
000440,중앙에너비스,,,00149770,
000470,그린손해보험,,,00104971,
000480,시알홀딩스,,,00148984,
000490,대동,,,00109286,
0004V0,엔비알모션,,,00924931,
0004Y0,디비금융제14호스팩,,,01884065,
000500,가온전선,,,00104768,
000520,삼일제약,,,00128032,
000540,흥국화재,,,00103176,
000590,CS홀딩스,,,00149026,
000610,제일화재해상보험,,,00148744,
000640,동아쏘시오홀딩스,,,00116824,
000650,천일고속,,,00151395,
000660,SK하이닉스,,,00164779,
000670,영풍,,,00141307,
000680,LS네트웍스,,,00104698,
000700,유수홀딩스,,,00163691,
000720,현대건설,,,00164478,
000760,이화산업,,,00145686,
000790,씨앤상선,,,00134060,
0007C0,아크릴,,,01829819,
0007J0,인벤테라,,,01869710,
000800,경남기업,,,00101257,
000810,삼성화재해상보험,,,00139214,
000830,삼성물산,,,00126229,
000850,화천기공,,,00166519,
000860,강남제비스코,,,00100939,
000880,한화,,,00160588,
000890,보해양조,,,00123541,
0008Z0,에스엔시스,,,01294110,
000910,유니온,,,00144252,
000950,전방,,,00147222,
000970,한국주철관공업,,,00159573,
000990,DB하이텍,,,00160843,
0009K0,에임드바이오,,,01781999,
001000,신라섬유,,,00135999,
001020,페이퍼코리아,,,00134723,
001040,CJ,,,00148540,
001060,JW중외제약,,,00149947,
001070,대한방직,,,00112970,
001080,만호제강,,,00120872,
0010F0,보원케미칼,,,00871587,
0010V0,제이피아이헬스케어,,,00185301,
001120,LX인터내셔널,,,00120076,
001130,대한제분,,,00113243,
001140,국보,,,00104519,
001150,서통,,,00131434,
001190,마이크로닉스,,,00112068,
0011A0,액스비스,,,01554508,
0011T0,채비,,,01279698,
001200,유진증권,,,00131054,
001210,금호전기,,,00106395,
001230,동국홀딩스,,,00114792,
001250,GS글로벌,,,00138190,
001260,남광토건,,,00107066,
001270,부국증권,,,00123772,
001280,우리증권,,,00163178,
001290,상상인증권,,,00112059,
001300,제일모직,,,00148328,
001310,풍림산업,,,00155498,
001340,PKC,,,00122472,
001360,삼성제약,,,00126414,
001370,FnC코오롱,,,00152914,
001380,SG글로벌,,,00152039,
001390,KG케미칼,,,00101220,
0013V0,삼진식품,,,01370322,
001420,태원물산,,,00154055,
001430,세아베스틸지주,,,00106669,
001440,대한전선,,,00113207,
001450,현대해상,,,00164973,
001460,BYC,,,00122579,
001470,삼부토건,,,00125974,
001490,천지산업,,,00151447,
001500,현대차증권,,,00137997,
001510,SK증권,,,00131850,
001520,동양,,,00117337,
001530,디아이동일,,,00118345,
001540,안국약품,,,00139205,
001550,조비,,,00148948,
001560,제일연마,,,00148461,
001570,금양,,,00106119,
001580,신광기업,,,00135670,
001590,일화모직공업,,,00146719,
0015G0,그린광학,,,00677486,
0015N0,아로마티카,,,01381805,
0015S0,페스카로,,,01817920,
001600,서광건설산업,,,00173397,
001620,케이비아이동국실업,,,00114765,
001630,종근당홀딩스,,,00149354,
001670,경남모직,,,00101275,
001680,대상,,,00121941,
001720,신영증권,,,00136721,
001740,SK네트웍스,,,00131780,
001750,한양증권,,,00162416,
001770,SHD,,,00137809,
001780,알루코,,,00117027,
001790,대한제당,,,00113234,
001800,오리온홀딩스,,,00117577,
001810,무림SP,,,00121507,
001820,삼화콘덴서공업,,,00129350,
001830,동부일렉트로닉스,,,00138491,
001840,이화공영,,,00145668,
001880,디엘건설,,,00128971,
001890,아이파크영창,,,00141282,
001940,KISCO홀딩스,,,00159740,
001950,남한제지,,,00107923,
001970,에스지신성건설,,,00173661,
001980,대호,,,00113696,
002000,생고뱅코리아홀딩스,,,00159005,
002020,코오롱,,,00152862,
002030,아세아,,,00138701,
002070,비비안,,,00107677,
002100,경농,,,00101433,
002140,고려산업,,,00102751,
002150,도화엔지니어링,,,00114552,
002170,SYTS,,,00127042,
002200,한국수출포장공업,,,00158112,
002210,동성제약,,,00116268,
002220,한일철강,,,00163196,
002230,피에스텍,,,00155638,
002240,고려제강,,,00103006,
002250,알보젠코리아,,,00105244,
002270,롯데푸드,,,00120508,
002290,삼일기업공사,,,00127936,
002300,한국제지,,,00159412,
002310,아세아제지,,,00138729,
002320,한진,,,00163512,
002350,넥센타이어,,,00173874,
002360,SH에너지화학,,,00136457,
002380,케이씨씨,,,00105271,
002390,한독,,,00161046,
002410,범양건영,,,00122694,
002420,세기상사,,,00133618,
002450,삼익악기,,,00127857,
002460,HS화성,,,00174527,
002480,범양사,,,00122728,
002530,벽산건설,,,00122922,
002540,고제,,,00103325,
002550,KB손해보험,,,00120216,
002600,조흥,,,00149345,
002620,제일파마홀딩스,,,00148443,
002630,오리엔트바이오,,,00141626,
002670,미주제강,,,00115472,
002680,한탑,,,00140566,
002690,동일제강,,,00118451,
002700,신일전자,,,00173698,
002710,TCC스틸,,,00117300,
002720,국제약품,,,00104722,
002760,보락,,,00123107,
002780,진흥기업,,,00150828,
002790,아모레퍼시픽홀딩스,,,00154462,
002800,신신제약,,,00136448,
002810,삼영무역,,,00127167,
002820,SUN&L,,,00132211,
002840,미원상사,,,00121932,
002850,영풍산업,,,00141334,
002860,하나은행,,,00130897,
002870,신풍,,,00137368,
002880,디와이에이,,,00149804,
002900,TYM,,,00117230,
002920,유성기업,,,00174004,
002930,삼도물산,,,00125406,
002950,두산건설,,,00115852,
002960,한국쉘석유,,,00158149,
002990,금호건설,,,00106313,
